City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
100,Ponta Do Sol,PT,2020-06-18 20:39:51,32.67,-17.1,294.15,73,20,3.6
101,Itarema,BR,2020-06-18 20:41:28,-2.92,-39.92,299.53,78,31,5.33
102,Hit,IQ,2020-06-18 20:42:32,33.64,42.83,304.26,15,0,4.07
103,Sao Raimundo Nonato,BR,2020-06-18 20:42:33,-9.02,-42.7,299.25,49,5,2.87
104,Altamira,BR,2020-06-18 20:42:33,-3.2,-52.21,305.15,59,20,1.5
105,Arosa,CH,2020-06-18 20:42:33,46.78,9.68,282.15,81,90,3.6
106,Novyy Svit,UA,2020-06-18 20:42:33,47.81,38.02,294.01,49,84,4.31
107,Durban,ZA,2020-06-18 20:42:33,-29.86,31.03,287.59,82,40,1.0
108,Kalemie,CD,2020-06-18 20:42:34,-5.95,29.19,293.76,67,40,1.0
109,Charlottesville,US,2020-06-18 20:40:19,38.03,-78.48,298.15,61,90,3.6
110,Teguise,ES,2020-06-18 20:42:34,29.06,-13.56,296.15,73,20,7.2
111,Roma,US,2020-06-18 20:40:28,43.21,-75.46,304.15,38,1,3.1
112,Chota,PE,2020-06-18 20:42:34,-6.55,-78.65,296.15,35,40,3.6
113,Doha,QA,2020-06-18 20:42:35,25.29,51.53,309.15,22,0,4.1
114,Banjar,ID,2020-06-18 20:42:35,-8.19,114.97,300.15,94,20,8.2
115,Bonoua,CI,2020-06-18 20:42:35,5.27,-3.6,300.15,88,20,2.6
116,Hoi An,VN,2020-06-18 20:42:35,15.88,108.33,300.15,83,20,0.5
117,Zhezkazgan,KZ,2020-06-18 20:40:09,47.8,67.71,291.26,69,68,7.35
118,Nouadhibou,MR,2020-06-18 20:35:43,20.93,-17.03,295.15,78,0,8.7
119,Maniitsoq,GL,2020-06-18 20:42:36,65.42,-52.9,277.83,81,0,7.41
120,Namibe,AO,2020-06-18 20:38:00,-15.2,12.15,295.28,67,0,2.34
121,Estevan,CA,2020-06-18 20:42:36,49.13,-102.98,283.15,76,90,8.2
122,Bredasdorp,ZA,2020-06-18 20:39:48,-34.53,20.04,280.15,87,0,2.18
123,Tuktoyaktuk,CA,2020-06-18 20:39:55,69.45,-133.04,280.15,87,75,4.1
124,Hulan,CN,2020-06-18 20:42:37,45.98,126.6,286.15,93,5,1.0
125,Leshukonskoye,RU,2020-06-18 20:42:37,64.9,45.76,285.36,66,93,2.73
126,Methoni,GR,2020-06-18 20:42:37,36.82,21.7,295.93,77,0,5.88
127,Tuatapere,NZ,2020-06-18 20:40:04,-46.13,167.68,277.04,83,19,1.34
128,Saint-Philippe,RE,2020-06-18 20:39:58,-21.36,55.77,295.15,68,20,6.7
129,Geraldton,AU,2020-06-18 20:41:01,-28.77,114.6,282.15,81,0,1.5
130,Bokoro,TD,2020-06-18 20:42:38,12.38,17.06,306.66,37,46,1.91
131,Batemans Bay,AU,2020-06-18 20:42:38,-35.72,150.18,279.26,93,11,0.45
132,Jardim,BR,2020-06-18 20:42:39,-21.48,-56.14,298.8,59,73,2.26
133,Tiarei,PF,2020-06-18 20:42:39,-17.53,-149.33,299.15,88,40,2.1
134,Arraial Do Cabo,BR,2020-06-18 20:40:11,-22.97,-42.03,296.15,73,7,7.2
135,Atuona,PF,2020-06-18 20:40:06,-9.8,-139.03,299.86,76,13,5.61
136,Monte Patria,CL,2020-06-18 20:42:39,-30.69,-70.95,291.32,34,100,0.76
