City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (Inches),Snow (Inches)
128,Sol-Iletsk,RU,51.16,54.99,53.58,70,0,17.11,clear sky,0.0,0.0
129,Banepa,NP,27.63,85.52,69.8,100,75,3.36,moderate rain,0.0,0.0
130,Tasiilaq,GL,65.61,-37.64,50.0,71,100,5.82,overcast clouds,0.0,0.0
131,Salamanca,ES,40.83,-6.0,72.0,41,0,6.78,clear sky,0.0,0.0
132,Andros Town,BS,24.7,-77.77,86.0,70,75,9.17,thunderstorm,0.0,0.0
133,Uyemskiy,RU,64.47,40.85,41.0,100,22,3.36,fog,0.0,0.0
134,Sao Filipe,CV,14.9,-24.5,76.19,83,6,12.26,clear sky,0.0,0.0
135,Bahir Dar,ET,11.59,37.39,63.36,86,96,3.15,moderate rain,1.57,0.0
136,Sinnamary,GF,5.38,-52.95,79.3,81,5,9.98,clear sky,0.0,0.0
137,Am Timan,TD,11.03,20.28,77.45,66,70,3.91,light rain,0.79,0.0
138,Bilma,NE,18.69,12.92,86.27,13,0,2.48,clear sky,0.0,0.0
139,Punta Arenas,CL,-53.15,-70.92,35.6,93,75,6.93,broken clouds,0.0,0.0
140,Le Vauclin,MQ,14.55,-60.84,84.2,79,75,14.99,broken clouds,0.0,0.0
141,Shieli,KZ,44.17,66.75,68.72,21,60,6.85,broken clouds,0.0,0.0
142,Rabo De Peixe,PT,37.8,-25.58,66.2,93,75,4.7,broken clouds,0.0,0.0
143,Dingle,PH,11.0,122.67,78.04,87,98,3.94,light rain,0.6,0.0
144,Kudahuvadhoo,MV,2.67,72.89,83.44,73,84,9.8,broken clouds,0.0,0.0
145,Richards Bay,ZA,-28.78,32.04,62.6,66,0,7.9,clear sky,0.0,0.0
146,Dikson,RU,73.51,80.55,43.77,75,61,16.11,broken clouds,0.0,0.0
147,Saint-Francois,FR,46.42,3.91,66.2,68,90,3.36,overcast clouds,0.0,0.0
148,Fenoarivo,MG,-18.93,47.44,59.0,87,75,6.93,broken clouds,0.0,0.0
149,Digapahandi,IN,19.37,84.58,80.42,75,94,3.24,overcast clouds,0.0,0.0
150,Saint-Augustin,CA,51.23,-58.65,58.95,61,100,17.09,overcast clouds,0.0,0.0
151,Angoche,MZ,-16.23,39.91,73.51,78,100,8.61,overcast clouds,0.0,0.0
152,Karasburg,NA,-28.02,18.75,52.88,43,0,8.16,clear sky,0.0,0.0
153,Touros,BR,-5.2,-35.46,77.0,83,0,4.7,clear sky,0.0,0.0
154,Port Blair,IN,11.67,92.75,82.71,80,100,7.99,overcast clouds,0.0,0.0
155,Upernavik,GL,72.79,-56.15,41.65,69,100,4.14,overcast clouds,0.0,0.0
156,Maniitsoq,GL,65.42,-52.9,48.38,61,1,9.78,clear sky,0.0,0.0
157,Karakol,KG,42.49,78.39,54.27,33,0,3.98,clear sky,0.0,0.0
158,Shakhtinsk,KZ,49.71,72.59,51.8,38,10,2.24,clear sky,0.0,0.0
159,Geraldton,AU,-28.77,114.6,60.8,38,0,20.8,clear sky,0.0,0.0
160,Markivka,UA,49.52,39.57,64.06,87,100,15.95,moderate rain,1.38,0.0
161,Castres,FR,43.58,2.17,68.0,68,0,4.7,clear sky,0.0,0.0
162,Talnakh,RU,69.49,88.4,51.8,66,2,11.18,clear sky,0.0,0.0
163,Leh,IN,34.17,77.58,51.46,43,0,5.77,clear sky,0.0,0.0
164,Nyrob,RU,60.73,56.72,45.57,80,95,8.01,overcast clouds,0.0,0.0
165,Arkhangelsk,RU,64.54,40.54,41.0,100,13,4.03,fog,0.0,0.0
166,Ancud,CL,-41.87,-73.82,48.0,93,90,14.99,overcast clouds,0.0,0.0
167,Kutum,SD,14.2,24.67,75.49,17,0,8.14,clear sky,0.0,0.0
168,San Carlos De Bariloche,AR,-41.15,-71.31,41.0,65,40,19.46,scattered clouds,0.0,0.0
169,Bonavista,CA,48.65,-53.11,54.77,67,97,16.46,overcast clouds,0.0,0.0
170,Weston,US,26.1,-80.4,90.0,57,100,8.41,light rain,0.72,0.0
171,Kaabong,UG,3.48,34.15,62.17,88,13,2.77,few clouds,0.0,0.0
172,Victoria,HK,22.29,114.16,86.0,74,99,11.01,light rain,0.12,0.0
173,Fort-Shevchenko,KZ,44.51,50.26,79.86,54,100,17.13,overcast clouds,0.0,0.0
174,Cervo,ES,43.67,-7.41,59.0,90,46,4.99,scattered clouds,0.0,0.0
175,Batangafo,CF,7.3,18.28,68.43,93,69,1.83,broken clouds,0.0,0.0
176,Kodinar,IN,20.79,70.7,83.66,79,91,14.5,light rain,0.29,0.0
177,Arlit,NE,18.74,7.39,94.69,9,70,3.0,broken clouds,0.0,0.0
178,Povoa De Varzim,PT,41.38,-8.76,64.99,93,90,9.17,overcast clouds,0.0,0.0
179,Harindanga,IN,22.04,88.32,80.6,88,40,4.7,haze,0.0,0.0
180,Olafsvik,IS,64.89,-23.71,54.41,73,14,22.97,few clouds,0.0,0.0
181,Lenine,UA,45.3,35.78,70.02,82,50,6.46,light rain,0.15,0.0
182,Gamba,GA,-2.65,10.0,71.69,94,0,5.17,clear sky,0.0,0.0
183,Eirunepe,BR,-6.66,-69.87,82.49,74,31,1.77,scattered clouds,0.0,0.0
184,Halifax,CA,44.65,-63.57,63.0,74,54,1.01,broken clouds,0.0,0.0
185,Mecca,SA,21.43,39.83,82.62,44,88,3.18,overcast clouds,0.0,0.0
186,Omboue,GA,-1.57,9.26,72.77,90,44,7.94,scattered clouds,0.0,0.0
187,Narsaq,GL,60.92,-46.05,59.0,47,100,1.12,overcast clouds,0.0,0.0
188,Nandurbar,IN,21.37,74.25,80.53,76,80,16.87,broken clouds,0.0,0.0
189,Gloucester,GB,51.87,-2.24,55.99,86,0,7.38,clear sky,0.0,0.0
190,Huamachuco,PE,-7.8,-78.07,58.55,54,70,4.54,broken clouds,0.0,0.0
191,Nkayi,CG,-4.18,13.29,71.8,83,1,1.32,clear sky,0.0,0.0
192,Adrar,MR,20.5,-10.07,102.58,9,51,13.51,broken clouds,0.0,0.0
